,Unnamed: 0,name,start_station_id,longitude,latitude,start_level
0,0,7 JUNI PLASSEN,623,10.731271500000709,59.91505960002149,6
1,1,ADAMSTUEN,425,10.734457000001544,59.93279200000635,6
3,3,AKER BRYGGE,1755,10.73003455685099,59.91118372187468,6
11,11,ARKADEN NORD,577,10.748052700000631,59.912147200007816,6
12,12,ARKADEN SØR,545,10.747858300000397,59.91196910000573,6
14,14,BADEBAKKEN,592,10.760359784513748,59.94558369759284,6
18,18,BENTSEBRUGATA,380,10.759169999998278,59.939229999966685,6
28,28,BJØLSEN STUDENTBY,394,10.760187307222832,59.943767691625446,6
49,49,COLOSSEUM KINO,378,10.711375283455402,59.92984693434118,6
52,52,DOKKVEIEN,558,10.727700099994204,59.91097400004583,6
55,55,DRONNINGENS GATE,576,10.747293102871655,59.91138978757977,6
70,70,FREDENSBORG,597,10.750357999994453,59.92099500003641,6
71,71,FRIGGFELTET,529,10.71146609999893,59.9327725999894,6
82,82,GALGEBERG,583,10.779178558651486,59.90708330782956,6
90,90,GRÜNERHAGEN NORD,542,10.755427399999483,59.92242560000156,6
96,96,HASLE,742,10.7928499999986,59.92434200001219,6
97,97,HASLE TORG,411,10.792847187624814,59.923235887919446,6
108,108,HOFFSVEIEN,559,10.676033900002166,59.92389800000711,6
115,115,IDIOTEN,596,10.736024177610703,59.93104277152173,6
122,122,JESS CARLSENS GATE,521,10.752393900005746,59.91863589997476,6
124,124,JORDALGATA,581,10.78108799999594,59.90822699999064,6
129,129,KIRKERISTEN,396,10.746731534178195,59.91301190955124,6
132,132,KLINGENBERGGATA,2280,10.73228129169978,59.91315053407009,6
137,137,KVÆRNERVEIEN,1919,10.778592132296131,59.90591083488398,6
146,146,LINAAES GATE,549,10.745703541408474,59.91382676217827,6
147,147,LINDERN,434,10.7350062000025,59.93588829997472,6
148,148,LODALEN BUSSTOPP,738,10.777958000001444,59.90345280000404,6
150,150,LØRENVEIEN,402,10.791740723847496,59.93090190894485,6
152,152,MAJORSTUA SKOLE,590,10.713681599998472,59.92943509998999,6
153,153,MAJORSTUEN,413,10.71692600000703,59.92904500007389,6
154,154,MAJORSTUEN T BANE,508,10.714630150518593,59.92981651514649,6
155,155,MAJORSTUVEIEN,473,10.716194999995915,59.92669700001408,6
162,162,MUNKEDAMSVEIEN,615,10.730106100002374,59.91352270000274,6
165,165,MYRALØKKA ØST,525,10.760581300004754,59.93720500001265,6
167,167,MØLLERGATA,477,10.748531826286374,59.915400986508935,6
169,169,NORDRE GATE,585,10.754745265357982,59.92117688837766,6
174,174,OLAF RYES PLASS,551,10.758182000011915,59.922424999997055,6
176,176,OLAV VS GATE,515,10.73212100000054,59.91291799999908,6
191,191,ROLF WICKSTRØMS VEI,601,10.757724100001646,59.95341140000555,6
194,194,RÅDHUSBRYGGE 4,494,10.730376600011358,59.91084690007553,6
198,198,SAGA KINO,390,10.732803587614086,59.91416161526121,6
209,209,SJØLYST,445,10.67665999999832,59.92167299998821,6
216,216,SKIPPERGATA,547,10.74819759999949,59.91122269999988,6
218,218,SKRÅNINGA,553,10.747466699999508,59.91397859996042,6
219,219,SKØYEN,572,10.679640147728612,59.92226029928848,6
220,220,SKØYEN STASJON,627,10.67871694485845,59.92269900581164,6
221,221,SLEMDALSVEIEN,386,10.714777999997064,59.93059600001513,6
238,238,STENSGATA,382,10.73283900000217,59.92960342637342,6
256,256,TIEDEMANNSPARKEN,2340,10.793539457902584,59.92024697048753,6
264,264,TÅSEN SENTER,554,10.751164999997538,59.95265899998449,6
270,270,ULLEVÅL SYKEHUS,502,10.736451599995712,59.93603070004179,6
277,277,VALKYRIEPLASSEN,459,10.718419999999464,59.928131900004274,6
281,281,VIA VIKA,2329,10.727170827087187,59.91271286014493,6
285,285,VULKAN,442,10.7510100000061,59.92250999995857,6
